tVehCat,Axle configuration,Max. GVW [t] upper bound,Vehice class,Long haul,Regional delivery,Urban delivery,Municipal utility,Construction,Heavy Urban,Urban,Suburban,Interurban,Coach
0,0,7.5,0,,x,x,,,,,,,
0,0,10,1,,x,x,,,,,,,
0,0,12,2,x,x,x,,,,,,,
0,0,16,3,,x,x,,,,,,,
1,0,10,1,,x,x,,,,,,,
1,0,12,2,x,x,x,,,,,,,
1,0,16,3,,x,x,,,,,,,
0,0,99,4,xx,x,,x,,,,,,
1,0,99,5,xx,xx,,,,,,,,
0,1,16,6,,,,x,x,,,,,
0,1,99,7,,,,,x,,,,,
1,1,99,8,,,,,xx,,,,,
0,2,99,9,xx,x,,x,,,,,,
1,2,99,10,xx,xx,,,,,,,,
0,3,99,11,,,,,x,,,,,
1,3,99,12,,,,,x,,,,,
0,4,99,13,,,,,x,,,,,
1,4,99,14,,,,,x,,,,,
0,5,99,15,,x,,,,,,,,
0,6,99,16,,,,,x,,,,,
0,7,99,17,,,,,x,,,,,
0,8,99,17,,,,,x,,,,,
2,0,18,B1,,,,,,x,x,x,,
3,0,18,B2,,,,,,,,,x,
4,0,18,B3,,,,,,,,,,x
2,2,99,B4,,,,,,x,x,x,,
3,2,99,B5,,,,,,,,,x,
4,2,99,B6,,,,,,,,,,x
