t,Pe_FullDyn
0,109479.743989
0.5,169195.967983
1,201768.453797
1.5,219535.264242
2,229226.251757
2.5,234512.244947
3,237395.51396
3.5,238968.206149
4,239826.038252
4.5,240293.946671
5,240549.169446
5.5,240688.381868
6,240764.315917
6.5,240805.734489
7,240828.326437
7.5,240840.649318
8,240847.37089
8.5,240851.037201
9,240853.037008
9.5,240854.127811
10,240854.722795
11,90364.271048
12,33930.351643
13,12767.631866
14,4831.61195
15,1855.604481
16,739.60168
17,321.10063
18,164.162736
19,105.311026
20,83.241635
21,74.965613
22,71.862105
23,70.698289
24,70.261859
25,70.098197
